Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,189.000000,191.139999,188.720001,191.119995,189.656342,8733000
2020-01-03,188.410004,190.960007,187.919998,189.600006,188.147980,4899700
2020-01-06,188.000000,189.210007,187.160004,189.190002,187.741135,10109500
2020-01-07,189.589996,190.100006,188.600006,188.690002,187.244965,4392300
2020-01-08,189.490005,192.500000,188.800003,191.919998,190.450211,5712000
2020-01-09,193.000000,193.919998,192.520004,193.250000,191.770035,6748000
2020-01-10,193.500000,194.570007,193.110001,193.770004,192.286057,6586400
2020-01-13,194.440002,195.600006,194.279999,195.330002,193.834122,11290500
2020-01-14,196.740005,196.949997,195.139999,196.050003,194.548599,6236500
2020-01-15,197.000000,200.149994,196.320007,199.800003,198.269867,10831100
2020-01-16,201.000000,201.500000,199.779999,200.949997,199.411072,9983700
2020-01-17,201.759995,204.750000,199.979996,204.699997,203.132355,12518900
2020-01-21,204.130005,208.389999,203.800003,207.289993,205.702515,14861700
2020-01-22,207.509995,210.130005,207.289993,207.899994,206.307846,8065000
2020-01-23,207.899994,208.399994,205.300003,206.520004,204.938431,8520800
2020-01-24,207.419998,207.990005,204.210007,205.000000,203.430054,7812900
2020-01-27,200.000000,203.330002,199.100006,201.690002,200.145401,7198900
2020-01-28,202.389999,203.839996,201.779999,202.850006,201.296509,7215700
2020-01-29,204.300003,205.919998,202.509995,204.860001,203.291107,7041700
2020-01-30,204.000000,208.500000,203.320007,208.210007,206.615479,8571900
2020-01-31,201.490005,203.979996,198.259995,198.970001,197.446213,16699600
2020-02-03,199.940002,202.259995,199.850006,200.809998,199.272141,10887900
2020-02-04,203.500000,204.919998,202.229996,203.559998,202.001068,10205900
2020-02-05,205.500000,205.600006,199.949997,202.809998,201.256805,8672400
2020-02-06,203.050003,204.630005,202.479996,203.039993,201.485046,7001200
2020-02-07,201.979996,203.830002,201.089996,202.740005,201.187347,5691100
2020-02-10,201.970001,206.130005,201.860001,205.990005,204.412476,6239500
2020-02-11,207.500000,207.669998,203.639999,203.940002,202.378174,10231900
2020-02-12,205.000000,208.149994,205.000000,207.440002,205.851364,7355800
2020-02-13,206.619995,208.470001,206.050003,207.399994,206.109741,9495300
