Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,117.680000,117.970001,115.230003,116.790001,112.318962,4158100
2020-01-03,114.970001,116.860001,114.839996,116.720001,112.251648,2477800
2020-01-06,115.449997,116.230003,114.370003,116.199997,111.751549,3381600
2020-01-07,115.860001,116.440002,115.070000,116.000000,111.559204,1952300
2020-01-08,115.379997,117.559998,115.320000,116.660004,112.193939,2016000
2020-01-09,117.029999,117.830002,116.379997,116.930000,112.453606,2151500
2020-01-10,117.070000,117.070000,115.599998,115.870003,111.434189,2545000
2020-01-13,116.120003,117.220001,115.900002,116.750000,112.280495,1826200
2020-01-14,116.750000,118.180000,116.690002,117.269997,112.780594,2598600
2020-01-15,117.510002,118.699997,117.269997,117.930000,113.415321,3168400
2020-01-16,118.510002,119.110001,118.099998,118.610001,114.069290,2426800
2020-01-17,118.739998,119.239998,118.169998,118.599998,114.059669,3403400
2020-01-21,118.209999,118.540001,116.750000,117.389999,112.895996,2960700
2020-01-22,117.790001,119.239998,117.250000,117.260002,112.770973,2425300
2020-01-23,117.029999,117.120003,115.550003,116.930000,112.453606,2493700
2020-01-24,117.040001,117.110001,115.930000,116.660004,112.193939,2015400
2020-01-27,114.949997,115.449997,113.349998,114.919998,110.520538,2903800
2020-01-28,115.449997,116.360001,114.440002,115.370003,110.953316,2039600
2020-01-29,115.760002,116.989998,115.330002,115.760002,111.328400,2845400
2020-01-30,112.260002,113.070000,107.339996,108.000000,103.865463,9473000
2020-01-31,107.839996,107.900002,103.089996,103.519997,99.556976,7234300
2020-02-03,104.160004,104.480003,101.660004,102.029999,98.124016,5627100
2020-02-04,103.339996,103.860001,102.620003,103.379997,99.422333,4858700
2020-02-05,104.629997,106.589996,104.339996,106.040001,101.980499,4439900
2020-02-06,106.599998,107.790001,105.500000,106.510002,102.432510,3861800
2020-02-07,106.050003,106.370003,103.000000,103.120003,99.172287,5754400
2020-02-10,103.400002,103.750000,101.629997,103.070000,99.124199,4669400
2020-02-11,103.419998,105.449997,103.220001,104.870003,100.855293,2806300
2020-02-12,105.769997,106.769997,105.489998,105.540001,101.499649,2493300
2020-02-13,104.989998,106.129997,104.370003,105.239998,101.211128,2768300
2020-02-14,104.989998,106.190002,104.680000,105.949997,101.893951,2694600
2020-02-18,105.949997,106.919998,105.699997,106.419998,102.345940,3371600
2020-02-19,106.980003,106.980003,105.949997,106.760002,102.672935,2663200
2020-02-20,106.480003,107.610001,105.949997,106.480003,102.403664,3171200
2020-02-21,105.620003,105.730003,102.750000,102.940002,98.999184,6034600
2020-02-24,99.760002,100.139999,97.620003,98.489998,95.658089,7300400
2020-02-25,99.070000,99.220001,93.220001,93.900002,91.200058,7609100
2020-02-26,95.080002,95.389999,93.180000,93.730003,91.034958,7411700
2020-02-27,91.510002,93.139999,89.889999,90.239998,87.645309,9143800
2020-02-28,88.629997,91.349998,87.669998,90.489998,87.888107,11517400
2020-03-02,92.050003,93.139999,89.410004,92.750000,90.083138,8738800
2020-03-03,94.860001,96.000000,90.570000,91.300003,88.674820,9263400
2020-03-04,92.290001,95.879997,91.430000,95.820000,93.064857,6644800
2020-03-05,92.779999,94.250000,91.940002,92.989998,90.316231,5277200
2020-03-06,90.269997,94.480003,90.139999,94.000000,91.297188,5598400
2020-03-09,88.440002,92.000000,87.099998,87.180000,84.673286,8648300
2020-03-10,90.480003,92.949997,87.190002,92.820000,90.151123,8914200
2020-03-11,89.820000,91.169998,87.309998,87.989998,85.459991,5557200
2020-03-12,82.220001,92.440002,82.000000,86.169998,83.692329,9412800
2020-03-13,91.000000,94.599998,87.510002,94.230003,91.520576,10918900
2020-03-16,85.860001,94.209999,85.500000,87.059998,84.556740,9006300
2020-03-17,89.050003,97.209999,87.790001,96.790001,94.006973,10476100
2020-03-18,91.000000,101.849998,90.309998,99.260002,96.405952,11152100
2020-03-19,98.669998,103.800003,95.459999,96.250000,93.482498,7690300
2020-03-20,96.150002,97.730003,90.910004,93.459999,90.772720,7355300
2020-03-23,94.180000,96.129997,90.250000,91.900002,89.257576,7117800
2020-03-24,93.930000,96.690002,92.160004,95.260002,92.520966,6067100
2020-03-25,95.629997,97.790001,91.050003,94.500000,91.782822,5682000
2020-03-26,94.500000,100.029999,93.529999,99.779999,96.910995,6373900
2020-03-27,95.599998,99.550003,95.000000,97.519997,94.715973,4671100
2020-03-30,98.129997,98.809998,95.910004,97.839996,95.026764,3994200
2020-03-31,96.910004,97.309998,93.160004,93.419998,90.733856,5391300
2020-04-01,90.910004,92.879997,89.080002,90.389999,87.790977,5762800
2020-04-02,89.760002,93.559998,88.349998,93.040001,90.364784,4039900
2020-04-03,92.169998,93.400002,88.820000,90.000000,87.412209,4471900
2020-04-06,93.209999,96.480003,92.419998,95.680000,92.928886,5642700
2020-04-07,96.250000,97.449997,92.690002,92.910004,90.238533,5113900
2020-04-08,97.000000,99.500000,93.760002,98.790001,95.949463,6628400
2020-04-09,98.580002,100.029999,96.120003,98.690002,95.852333,5588500
2020-04-13,98.580002,100.250000,98.190002,98.419998,95.590096,3355100
2020-04-14,100.559998,101.830002,99.559998,101.400002,98.484413,4093100
2020-04-15,99.940002,99.980003,97.940002,99.919998,97.046974,3721200
2020-04-16,100.180000,102.489998,99.599998,102.220001,99.280846,4303400
2020-04-17,102.160004,103.750000,99.830002,102.750000,99.795601,5850100
2020-04-20,101.739998,103.000000,101.050003,101.199997,98.290161,4359500
2020-04-21,100.360001,102.110001,100.250000,100.620003,97.726845,3793800
2020-04-22,101.500000,101.769997,97.379997,97.610001,94.803391,5105200
2020-04-23,98.360001,100.239998,98.059998,99.449997,96.590485,4061800
2020-04-24,100.190002,100.449997,98.589996,100.180000,97.299492,2794000
2020-04-27,101.000000,103.489998,99.800003,102.550003,99.601357,4362300
2020-04-28,99.250000,99.320000,96.180000,96.430000,93.657326,10400900
2020-04-29,96.099998,97.150002,94.110001,96.110001,93.346527,9974000
2020-04-30,95.599998,95.739998,92.820000,94.660004,91.938217,6262500
2020-05-01,93.230003,93.709999,91.250000,91.900002,89.257576,5415600
2020-05-04,91.610001,91.800003,89.599998,90.440002,87.839546,4784400
2020-05-05,91.529999,93.849998,91.400002,92.709999,90.044273,5001000
